weeks,language,len
2022-44,de,208.6145130833558
2022-44,en,197.37044629434868
2022-44,es,200.49936055929746
2022-44,fr,207.06832980309093
2022-44,it,208.94712539610683
2022-44,ru,143.1408652860365
2022-44,uk,113.51371264838313
2022-45,de,204.61739073455212
2022-45,en,187.1224190859084
2022-45,es,193.86986206896552
2022-45,fr,196.9039524309199
2022-45,it,203.29906291834
2022-45,ru,141.7333146644264
2022-45,uk,111.40031530955729
2022-46,de,199.43370631183308
2022-46,en,186.486044011182
2022-46,es,190.2700448014831
2022-46,fr,197.61666159000913
2022-46,it,191.40235771056703
2022-46,ru,136.8050650106734
2022-46,uk,114.25971248663419
2022-47,de,201.7131396481577
2022-47,en,188.73696751582924
2022-47,es,176.66539791290006
2022-47,fr,189.8645471961891
2022-47,it,204.32354465365347
2022-47,ru,140.3303115556945
2022-47,uk,115.27648740396641
2022-48,de,207.46812199036918
2022-48,en,191.02813034328554
2022-48,es,184.8100636528365
2022-48,fr,200.9725925374246
2022-48,it,207.0392572408921
2022-48,ru,140.29520732364028
2022-48,uk,112.13630932466664
2022-49,de,209.66070609812013
2022-49,en,192.72786908070537
2022-49,es,196.8859806688906
2022-49,fr,207.1065957103693
2022-49,it,205.22350629839363
2022-49,ru,134.68651601156688
2022-49,uk,111.26517836593786
2022-50,de,209.1871874080612
2022-50,en,189.64328105985015
2022-50,es,177.99735062006764
2022-50,fr,201.0851693035635
2022-50,it,202.0361129349967
2022-50,ru,126.25555807622504
2022-50,uk,106.8548292770705
2022-51,de,206.26183771039362
2022-51,en,185.33086547490697
2022-51,es,194.74890334291334
2022-51,fr,195.1500839477334
2022-51,it,195.245395616833
2022-51,ru,133.29111862708254
2022-51,uk,111.07562147482766
2022-52,de,203.49547562922973
2022-52,en,195.8218340345101
2022-52,es,192.1299540897592
2022-52,fr,195.0371376811594
2022-52,it,198.37908924365348
2022-52,ru,129.573293768546
2022-52,uk,107.81956135151155
2023-01,de,210.46752344564084
2023-01,en,193.5178365569361
2023-01,es,197.100107014301
2023-01,fr,198.3503342051729
2023-01,it,206.18288039910726
2023-01,ru,135.91851351351352
2023-01,uk,111.79658547954784
2023-02,de,210.0787127880249
2023-02,en,193.2622790084873
2023-02,es,180.52432502934656
2023-02,fr,198.34094332144272
2023-02,it,201.08748291349346
2023-02,ru,153.76030437539632
2023-02,uk,127.96305559897868
2023-03,de,211.2140958309019
2023-03,en,196.8436216799613
2023-03,es,198.52225445503524
2023-03,fr,194.61715022566085
2023-03,it,202.79935047836392
2023-03,ru,146.88427047988367
2023-03,uk,121.3895543015087
2023-04,de,206.57446208293797
2023-04,en,195.9971694082461
2023-04,es,200.0071341833637
2023-04,fr,199.53409248075238
2023-04,it,197.1774518411403
2023-04,ru,145.6142421934501
2023-04,uk,116.9004739336493
2023-05,de,209.64221917678748
2023-05,en,196.46789446113976
2023-05,es,200.00877736472532
2023-05,fr,197.79816201497619
2023-05,it,206.63503714184648
2023-05,ru,145.9979415397283
2023-05,uk,119.89784568551691
2023-06,de,210.64847584869858
2023-06,en,196.02249822569198
2023-06,es,186.87658629441626
2023-06,fr,194.70839673537142
2023-06,it,126.46716948201708
2023-06,ru,147.94554629738295
2023-06,uk,116.95265324794144
